video_id	video_title	video_description	video_thumbnail
LENeb8LgHCA	강형욱 훈련사님과 함께한 2017 댕댕이페스티벌!	유료광고포함 강형욱 보듬훈련사님과 함께한 댕댕이페스티벌! 그 뜨거운 현장, 함께 만나보실까요? #보듬 #강형욱훈련사 #여의도 ...	https://i.ytimg.com/vi/LENeb8LgHCA/hqdefault.jpg
jVl9S9sozsU	&#39;첼시와 다올이&#39; 할머니 댕댕이들의 퍼피 뺨치는 파워 산책!	유료광고포함 10살을 넘긴 노견이라는 게 믿어지지 않는 동안견, 첼시와 다올! 보듬 운동장에서 강형욱 훈련사님과 함께 ♥ 신나는 ...	https://i.ytimg.com/vi/jVl9S9sozsU/hqdefault.jpg
VrWFfpI1hVo	댕댕이 섬에서의 하루! 2018 댕댕이페스티벌	강형욱 훈련사님뿐만 아니라 대도서관, 홍끼 작가님, 효린, 짙은 등 모두가 총출동한 바로 그 화제의 페스티벌! #유료광고포함 #1미터 ...	https://i.ytimg.com/vi/VrWFfpI1hVo/hqdefault.jpg
Qltuv6xaZM0	수원이의 임시보호를 종료합니다	1m 줄에 묶여 있던 어린 강아지 수원이, 여느 강아지처럼 달리는 걸 좋아하고 사람의 곁을 좋아하는 수원이가 무럭무럭 자라 이제는 ...	https://i.ytimg.com/vi/Qltuv6xaZM0/hqdefault.jpg
ZLcAtZIkbBw	왕크니까 왕귀여운 초대형 애기 강아지 교육하기 [퍼피교육]	버니즈 마운틴 독 견생 4개월, 엠버와 함께했습니다 교육 내용 1. 대형견 퍼피 교육 대형견들은 퍼피 때 다른 소형견들보다 조금 느릴 ...	https://i.ytimg.com/vi/ZLcAtZIkbBw/hqdefault.jpg
npG6kn5QOW4	댕버랜드에 나타난 춤 추는 강아지들｜2019 댕댕이페스티벌 독댄스	꿈과 희망의 나라 댕버랜드에 춤을 추는 강아지들이 있다?! 아름다운 자라섬에서 신나게 춤추는 강아지들. 강아지들은 어떤 춤을 출 ...	https://i.ytimg.com/vi/npG6kn5QOW4/hqdefault.jpg
3dkQJpO8eYI	엽긴 무슨 이제 당신은 250km를 달려야 합니다 | 견종백과 말라뮤트편	오늘 견종백과로 만나볼 친구는 알래스칸 말라뮤트입니다! 말라뮤트 친구들은 하루에 풀코스 마라톤을 다섯 번이나 쉬지 않고 달릴 수 ...	https://i.ytimg.com/vi/3dkQJpO8eYI/hqdefault.jpg
O-9wllzPEF8	천재 도베르만 등장 [퍼피교육]	도베르만 핀셔 견생 4개월, 람보와 함께했습니다 교육 내용 1. 앉아 교육 퍼피 시기에 꼭 해야 하는 기초 교육 * 포인트 [ 간식 냄새를 ...	https://i.ytimg.com/vi/O-9wllzPEF8/hqdefault.jpg
bkTMf9Wbg58	산책 빌런 = 강형욱 [수밤라이브 하이라이트]	이번 라이브 주제는 ' 12시에 종료' 였는데요 다음엔 무슨 주제로 하면 좋을까요? #강형욱 #강아지 #반려견 #라이브 Copyright ...	https://i.ytimg.com/vi/bkTMf9Wbg58/hqdefault.jpg
v_chquvarZQ	브리더와 펫숍의 차이 [수밤라이브 하이라이트]	이번 라이브 주제는 ' 브리더' 였는데요 다음엔 무슨 주제로 하면 좋을까요? #강형욱 #강아지 #반려견 #라이브 Copyright c 2023 ...	https://i.ytimg.com/vi/v_chquvarZQ/hqdefault.jpg
sLhau5IA328	왕초보 댕댕이들이 어질리티 대회에 도전했다!	어질리티는 프로들만의 축제? 놉! 왕초보 댕댕이들이 어질리티 대회에 도전합니다! (과감히) #유료광고포함 #어질리티대회 #댕댕이 ...	https://i.ytimg.com/vi/sLhau5IA328/hqdefault.jpg
3SYrf9NAJZE	강아지가 필라테스를 하네... [퍼피교육]	웰시코기 견생 4개월, 소금이와 함께했습니다 교육 내용 1. 앉아 엎드려 기다려 교육 다리가 짧아서 팔꿈치가 닿는지 안 보이면 단상 ...	https://i.ytimg.com/vi/3SYrf9NAJZE/hqdefault.jpg
3pp-RUaUhvY	얘를 어떻게 교육합니까? 발 닳습니다 [퍼피교육]	말티푸 견생 3개월, 촙촙이와 함께했습니다 교육 내용 1. 둔감화 교육 일상에서 나오는 외부 자극(터치&소리)에 대해 예민하지 ...	https://i.ytimg.com/vi/3pp-RUaUhvY/hqdefault.jpg
8T3DgZUx9lo	간식 하나면 천재견이 되는 강아지 [집에 가자] EP.4	유기견 센터에서 가족을 기다리고 있는 강아지에게 입양 전 필요한 교육을 하는 [집에 가자] 이번 화 주인공은 '동물자유연대 온센터'에 ...	https://i.ytimg.com/vi/8T3DgZUx9lo/hqdefault.jpg
ENRfckcQ-9Y	강아지 밥상머리 교육하는 법 [퍼피교육]	골든 리트리버 견생 4개월, 마루와 함께했습니다 교육 내용 1. 와치 교육 간식을 통해 강아지의 집중도를 높여주는 교육 * 포인트 ...	https://i.ytimg.com/vi/ENRfckcQ-9Y/hqdefault.jpg
X-e2FOhL13Y	이름이 &#39;짜장 곱백&#39;이 뭐야ㅠ 넘모 귀엽잖아 [퍼피교육]	견생 5개월 짜장, 3개월 곱백이와 함께했습니다 교육 내용 1. Thinking Training 간식을 손으로 덮고, 강아지가 행동을 멈추면 간식을 ...	https://i.ytimg.com/vi/X-e2FOhL13Y/hqdefault.jpg
dLpy8sadZBA	만지지 말고. 부르지 말고. 바라만 보세요. | 견종백과 시바이누편	오늘 견종백과로 만나볼 친구는 시바이누입니다! 기승전'만지지 마 시바'인데요 과연 훈련사님은 또리를 몇 번이나 만졌을까요?	https://i.ytimg.com/vi/dLpy8sadZBA/hqdefault.jpg
RM28oR1c4xU	캥거루처럼 뛰는 강아지 보고 가세요 [퍼피교육]	견생 4개월 올리와 함께했습니다 교육 내용 1. 이리와 교육 강아지가 따라오면 터치하지 말고 보상만 줘요 * 포인트 [ 강아지가 눈을 ...	https://i.ytimg.com/vi/RM28oR1c4xU/hqdefault.jpg
